"Địa phương","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"     Phú Yên",86288,41068,31414,13806,91694,40232,35161,16301,90132,39646,34247,16239,89009,39168,32744,17097,87134,38094,31628,17412,84596,38389,29217,16990,84332,38527,28287,17518,89315,38642,31418,19255,83092,37050,28622,17420,82955,37088,29132,16735,82475,36129,29295,17051,82042,36261,28726,17055,80340,34411,28301,17628,80235,34650,28433,17152,81161,36149,27974,17038,81755,36987,27505,17263
"     Khánh Hoà",117251,54330,45788,17133,117307,52001,45097,20209,113413,49846,45183,18384,112209,47860,42918,21431,108963,46432,40138,22393,109439,49023,37580,22836,107907,49598,35989,22320,103039,46023,35346,21670,105537,49028,35582,20927,105940,49038,36714,20188,106018,48637,37613,19768,106324,49148,37285,19891,105464,47190,37612,20662,106248,47873,37641,20734,108146,50280,37096,20770,109143,51165,37118,20860
"     Ninh Thuận",68321,32847,27776,7698,64203,31120,24094,8989,61058,29615,23407,8036,61103,28461,22034,10608,59681,27665,20343,11673,58753,28142,19812,10799,53819,25900,16081,11838,58123,27748,18948,11427,57933,27711,18907,11315,56763,27699,18930,10134,56118,27302,19299,9517,56091,27491,19048,9552,55431,26619,19287,9525,55968,26994,19259,9715,55717,28217,17830,9670,57398,28909,18815,9674
"     Bình Thuận",136886,67542,50277,19067,134872,61978,50941,21953,130086,57708,51286,21092,127443,54567,48909,23967,124286,52635,46618,25033,121821,52999,43249,25573,119814,53503,40108,26203,117844,53005,38889,25950,116842,53335,38318,25189,114940,54030,38424,22486,113171,53882,38694,20595,112489,54598,38182,19709,111182,53198,38419,19565,112219,53850,38929,19440,114990,56416,39065,19509,116845,57323,39100,20422
"Tây Nguyên",586437,303766,202617,80054,593444,294989,207558,90897,582263,283303,208266,90694,597276,278324,213361,105591,585527,272577,207735,105215,571277,271667,198973,100637,569095,270784,193922,104389,569939,272213,193691,104035,564139,268893,190970,104276,564490,270113,190986,103391,569546,278198,192291,99057,572087,284483,188180,99424,570662,281048,189507,100107,577697,287071,192153,98473,589835,298471,194877,96487,597635,299009,200524,98102
"     Kon Tum",47679,26694,15143,5842,49898,26238,17053,6607,47107,23497,17413,6197,49776,24619,18284,6873,49043,24369,17644,7030,49241,24679,17647,6915,50209,25073,17621,7515,50652,24977,17684,7991,57787,32274,17933,7580,53295,27323,18498,7474,53629,27463,18622,7544,54650,28296,18628,7726,55234,28359,19088,7787,56767,29135,19601,8031,58255,30431,19929,7895,59428,30697,20593,8138
"     Gia Lai",131656,74566,41256,15834,134249,73652,42782,17815,132362,72109,44546,15707,137259,71814,45442,20003,137577,71304,45377,20896,136607,71890,43317,21400,145976,78802,43882,23292,144298,76023,45224,23051,145786,77482,45577,22727,148664,79006,47730,21928,149963,79729,48905,21329,150795,80291,49054,21450,151020,78886,50119,22015,152965,79219,51493,22253,156197,81480,52052,22665,158263,81891,53174,23198
"     Đắk Lắk",226236,111639,82623,31974,226538,106124,81726,38688,225524,101718,83359,40447,220758,96461,80527,43770,213061,91725,77402,43934,201262,90839,73750,36673,194144,87662,69475,37007,191463,86157,68832,36474,181635,77421,66427,37787,180722,79050,62511,39161,182604,84099,62479,36026,182195,86093,60464,35638,179240,84506,59505,35229,180662,86982,59762,33918,182636,90834,59858,31944,184914,91313,61317,32284
"     Đắk Nông",48528,27441,15997,5090,48363,27359,16902,4102,48511,26225,15491,6795,54151,26866,17954,9331,56364,28336,19023,9005,55487,27922,18276,9289,56642,28247,18797,9598,57650,28476,19227,9947,58413,29073,19425,9915,59041,29793,19385,9863,60476,30701,19940,9835,61706,31749,19754,10203,62451,31736,20199,10516,63744,32747,20460,10537,65927,34114,21248,10565,65600,32862,21873,10865
"     Lâm Đồng",132338,63426,47598,21314,134396,61616,49095,23685,128759,59754,47457,21548,135332,58564,51154,25614,129482,56843,48289,24350,128680,56337,45983,26360,122124,51000,44147,26977,125876,56580,42724,26572,120518,52643,41608,26267,122768,54941,42862,24965,122874,56206,42345,24323,122741,58054,40280,24407,122717,57561,40596,24560,123559,58988,40837,23734,126820,61612,41790,23418,129430,62246,43567,23617
